City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,78.01,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Saint-Philippe,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Port Alfred,70.75,overcast clouds,-33.5906,26.891,The Halyards Hotel
9,Bandarbeyla,76.71,overcast clouds,9.4942,50.8122,JABIR HOTEL
14,New Norfolk,77.76,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
17,Cabo San Lucas,73.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
18,Sao Filipe,73.13,overcast clouds,14.8961,-24.4956,Hotel Xaguate
21,Atuona,78.17,broken clouds,-9.8,-139.0333,Villa Enata
26,Hobart,78.12,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
29,Busselton,70.05,overcast clouds,-33.65,115.3333,Observatory Guest House
33,Ituacu,71.4,overcast clouds,-13.8133,-41.2967,Hotel Alelos
35,Carnarvon,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
36,La Romana,72.99,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
39,Airai,72.03,scattered clouds,-8.9266,125.4092,
40,Geraldton,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
41,Butaritari,81.64,broken clouds,3.0707,172.7902,Isles Sunset Lodge
44,Cidreira,72.16,scattered clouds,-30.1811,-50.2056,Hotel Castelo
46,Caravelas,77.4,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
48,Souillac,77.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
50,Mar Del Plata,73.09,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
52,Buala,84.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
58,Kaeo,74.59,overcast clouds,-35.1,173.7833,Bushido Lodge
59,Kapaa,78.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Bredasdorp,70.92,light rain,-34.5322,20.0403,Bredasdorp Country Manor
70,Lorengau,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
71,East London,71.13,overcast clouds,-33.0153,27.9116,Tu Casa
72,Vaini,76.89,light rain,-21.2,-175.2,Keleti Beach Resort
77,Puerto Ayora,72.82,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
81,Sai Buri,83.82,scattered clouds,6.7013,101.6168,สวนป่ารีสอร์ท
83,Avarua,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
92,Grand Gaube,77.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
93,Sabang,80.58,broken clouds,5.8933,95.3214,Hotel Citra
98,Nosy Varika,73.71,overcast clouds,-20.5833,48.5333,Hotel Volazara
99,Daru,85.91,overcast clouds,-9.0763,143.2092,Daru Lodge
100,Axim,79.81,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
101,Santa,80.24,clear sky,17.486,120.4348,Monte Leah Beach Resort
103,Kulhudhuffushi,80.26,overcast clouds,6.6221,73.07,Haajy Guest House 1
104,Port Elizabeth,72.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
106,Wagar,72.1,scattered clouds,16.1525,36.2032,
108,Hambantota,75.54,broken clouds,6.1241,81.1185,Bungalow 63
111,Pitimbu,80.35,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
113,Phetchabun,82.44,clear sky,16.25,101.0833,วินธนา รีสอร์ท
114,Gigmoto,81.93,scattered clouds,13.7796,124.39,Cj's Travellers Inn
115,Sibanicu,73.31,overcast clouds,21.235,-77.5264,
117,Whithorn,71.44,overcast clouds,18.2604,-78.0378,Sunset Heal
119,Mahebourg,77.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
123,Umm Lajj,72.34,overcast clouds,25.0213,37.2685,Moon light Furnished Units
128,Hilo,77.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
130,Makakilo City,76.6,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
131,Byron Bay,83.71,broken clouds,-28.65,153.6167,Backpackers Inn
133,Ahipara,74.28,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
134,Codrington,74.28,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
145,Moron,80.02,broken clouds,-34.6534,-58.6198,Hotel Morón
152,Georgetown,84.13,few clouds,5.4112,100.3354,Cititel Penang
