City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lata,40.1629,-8.3327,55.81,99,100,3.0,overcast clouds
1,Guerrero Negro,27.9769,-114.0611,64.6,56,100,6.89,overcast clouds
2,Rikitea,-23.1203,-134.9692,78.01,80,100,19.51,overcast clouds
3,Westport,41.1415,-73.3579,39.99,95,100,1.99,overcast clouds
4,Mataura,-46.1927,168.8643,69.48,45,42,1.9,scattered clouds
5,Jamestown,42.097,-79.2353,27.52,49,100,10.0,overcast clouds
6,Tuktoyaktuk,69.4541,-133.0374,-25.6,68,40,10.36,scattered clouds
7,Saint-Philippe,-21.3585,55.7679,76.59,85,100,11.97,light rain
8,Port Alfred,-33.5906,26.891,70.75,91,100,20.22,overcast clouds
9,Bandarbeyla,9.4942,50.8122,76.71,61,88,18.81,overcast clouds
10,Adrar,20.5022,-10.0711,57.4,14,99,8.19,overcast clouds
11,Koslan,63.4564,48.8989,10.8,95,100,5.91,overcast clouds
12,Punta Arenas,-53.15,-70.9167,50.11,61,100,23.96,overcast clouds
13,Berdigestyakh,62.0989,126.6992,-37.86,99,75,2.71,broken clouds
14,New Norfolk,-42.7826,147.0587,77.76,54,95,4.03,overcast clouds
15,Maniitsoq,65.4167,-52.9,11.82,89,100,8.59,light snow
16,Valdivia,-39.8142,-73.2459,55.74,99,13,1.88,few clouds
17,Cabo San Lucas,22.8909,-109.9124,73.51,82,100,3.0,overcast clouds
18,Sao Filipe,14.8961,-24.4956,73.13,67,100,4.79,overcast clouds
19,Vanavara,60.34,102.2797,7.99,95,100,8.81,light snow
20,Longyearbyen,78.2186,15.6401,22.84,74,75,5.75,broken clouds
21,Atuona,-9.8,-139.0333,78.17,78,84,18.72,broken clouds
22,Riyadh,24.6877,46.7219,53.74,32,3,9.19,clear sky
23,Digha,21.6833,87.55,68.29,63,0,5.86,clear sky
24,Akyab,20.15,92.9,67.75,70,0,6.15,clear sky
25,Qaanaaq,77.484,-69.3632,2.89,68,100,7.99,overcast clouds
26,Hobart,-42.8794,147.3294,78.12,77,75,14.97,broken clouds
27,Cape Town,-33.9258,18.4232,68.09,83,75,8.05,broken clouds
28,Aykhal,66.0,111.5,-1.59,94,100,18.88,overcast clouds
29,Busselton,-33.65,115.3333,70.05,41,100,9.62,overcast clouds
30,Chokurdakh,70.6333,147.9167,-25.62,94,16,8.43,few clouds
31,Barrow,71.2906,-156.7887,-18.38,69,0,0.0,clear sky
32,Kasama,-10.2129,31.1808,61.79,96,100,1.92,light rain
33,Ituacu,-13.8133,-41.2967,71.4,90,100,3.78,overcast clouds
34,Keflavik,64.0049,-22.5624,39.63,93,100,44.87,light rain
35,Carnarvon,-24.8667,113.6333,82.47,30,0,14.97,clear sky
36,La Romana,18.4273,-68.9728,72.99,87,27,12.73,scattered clouds
37,Tyulyachi,55.8913,50.2399,12.4,89,100,13.6,light snow
38,Holstebro,56.3601,8.6161,36.05,98,100,1.01,overcast clouds
39,Airai,-8.9266,125.4092,72.03,70,37,2.3,scattered clouds
40,Geraldton,-28.7667,114.6,84.61,21,0,17.27,clear sky
41,Butaritari,3.0707,172.7902,81.64,77,62,17.74,broken clouds
42,Marzuq,14.4,46.4667,57.22,36,5,1.9,clear sky
43,Tongliao,43.6125,122.2653,4.6,78,1,10.27,clear sky
44,Cidreira,-30.1811,-50.2056,72.16,73,37,16.87,scattered clouds
45,Tuatapere,-46.1333,167.6833,69.82,68,73,6.33,broken clouds
46,Caravelas,-17.7125,-39.2481,77.4,86,100,9.15,overcast clouds
47,Dombarovskiy,50.7587,59.5386,-6.2,82,7,6.8,clear sky
48,Souillac,-20.5167,57.5167,77.36,84,91,7.49,light rain
49,Talnakh,69.4865,88.3972,-5.8,97,100,4.85,light snow
50,Mar Del Plata,-38.0023,-57.5575,73.09,1,44,1.99,scattered clouds
51,Saskylakh,71.9167,114.0833,3.0,93,93,8.32,overcast clouds
52,Buala,-8.145,159.5921,84.65,73,74,7.07,light rain
53,Torbay,47.6666,-52.7314,30.27,81,96,1.99,overcast clouds
54,Klaksvik,62.2266,-6.589,43.72,84,100,37.31,overcast clouds
55,Novopodrezkovo,55.9428,37.3467,20.73,93,100,6.71,light snow
56,Saint Joseph,39.7686,-94.8466,21.33,65,0,4.61,clear sky
57,Sept-Iles,50.2001,-66.3821,24.06,90,99,1.99,overcast clouds
58,Kaeo,-35.1,173.7833,74.59,61,99,7.72,overcast clouds
59,Kapaa,22.0752,-159.319,78.48,66,4,3.0,clear sky
60,Yellowknife,62.456,-114.3525,-26.45,88,40,4.61,scattered clouds
61,Weiser,44.251,-116.9693,19.31,86,19,1.01,few clouds
62,Thompson,55.7435,-97.8558,-15.93,86,100,11.39,overcast clouds
63,Upernavik,72.7868,-56.1549,3.27,99,100,5.46,overcast clouds
64,Wajima,37.4,136.9,43.27,62,8,9.91,clear sky
65,Iqaluit,63.7506,-68.5145,-25.31,74,0,15.01,clear sky
66,Bredasdorp,-34.5322,20.0403,70.92,73,100,10.36,light rain
67,Yar-Sale,66.8333,70.8333,-9.67,96,58,8.01,broken clouds
68,Victoria,22.2855,114.1577,68.25,74,100,5.01,overcast clouds
69,Pacific Grove,36.6177,-121.9166,58.24,82,86,1.01,overcast clouds
70,Lorengau,-2.0226,147.2712,82.96,73,100,10.22,overcast clouds
71,East London,-33.0153,27.9116,71.13,89,100,6.46,overcast clouds
72,Vaini,-21.2,-175.2,76.89,84,100,16.02,light rain
73,Ushuaia,-54.8,-68.3,39.7,81,60,6.11,broken clouds
74,Illela,13.7292,5.2975,65.03,20,2,14.61,clear sky
75,Hirara,24.8,125.2833,69.48,70,99,19.46,overcast clouds
76,Bethel,41.3712,-73.414,38.05,92,100,1.99,overcast clouds
77,Puerto Ayora,-0.7393,-90.3518,72.82,89,100,5.3,overcast clouds
78,Matagami,49.7502,-77.6328,-5.69,71,100,12.66,overcast clouds
79,Ponca City,36.707,-97.0856,32.79,46,0,7.29,clear sky
80,Ribeira Grande,38.5167,-28.7,61.3,77,100,22.3,overcast clouds
81,Sai Buri,6.7013,101.6168,83.82,73,44,9.1,scattered clouds
82,Albany,42.6001,-73.9662,36.81,86,100,1.01,overcast clouds
83,Avarua,-21.2078,-159.775,84.25,70,75,14.97,broken clouds
84,Sao Sebastiao,-23.76,-45.4097,69.46,88,75,2.55,broken clouds
85,Hermanus,-34.4187,19.2345,66.9,87,79,1.77,broken clouds
86,Yevlax,40.6089,47.1492,39.4,86,40,3.06,scattered clouds
87,Khatanga,71.9667,102.5,-6.72,92,99,6.17,overcast clouds
88,Esperance,-33.8667,121.9,65.3,60,73,15.64,broken clouds
89,Kuruman,-27.4524,23.4325,66.99,55,9,11.43,clear sky
90,Nome,64.5011,-165.4064,4.15,59,0,23.6,clear sky
91,Chuy,-33.6971,-53.4616,68.88,81,0,11.21,clear sky
92,Grand Gaube,-20.0064,57.6608,77.38,87,90,4.0,overcast clouds
93,Sabang,5.8933,95.3214,80.58,75,74,9.17,broken clouds
94,Norman Wells,65.282,-126.8329,-25.92,96,100,3.4,overcast clouds
95,Kenai,60.5544,-151.2583,10.44,71,100,11.97,overcast clouds
96,Yulara,-25.2406,130.9889,102.04,10,16,11.5,few clouds
97,Faya,18.3851,42.4509,54.61,71,0,2.93,clear sky
98,Nosy Varika,-20.5833,48.5333,73.71,94,100,9.28,overcast clouds
99,Daru,-9.0763,143.2092,85.91,64,100,6.89,overcast clouds
100,Axim,4.8699,-2.2405,79.81,82,59,5.1,broken clouds
101,Santa,17.486,120.4348,80.24,59,7,2.53,clear sky
102,Shenjiamen,29.9576,122.298,48.43,66,6,7.92,clear sky
103,Kulhudhuffushi,6.6221,73.07,80.26,75,99,9.89,overcast clouds
104,Port Elizabeth,-33.918,25.5701,72.1,81,100,19.69,overcast clouds
105,Nanortalik,60.1432,-45.2371,18.82,79,99,31.85,overcast clouds
106,Wagar,16.1525,36.2032,72.1,78,28,7.4,scattered clouds
107,Kenora,49.8167,-94.4337,-14.82,68,93,8.99,overcast clouds
108,Hambantota,6.1241,81.1185,75.54,100,75,8.05,broken clouds
109,Dikson,73.5069,80.5464,-12.59,100,97,5.44,overcast clouds
110,Provost,52.3501,-110.2683,-6.11,94,63,6.29,broken clouds
111,Pitimbu,-7.4706,-34.8086,80.35,77,43,9.66,scattered clouds
112,Bluff,-46.6,168.3333,69.8,85,89,10.56,overcast clouds
113,Phetchabun,16.25,101.0833,82.44,45,7,3.98,clear sky
114,Gigmoto,13.7796,124.39,81.93,74,45,5.03,scattered clouds
115,Sibanicu,21.235,-77.5264,73.31,82,87,9.62,overcast clouds
116,Severo-Kurilsk,50.6789,156.125,31.14,86,83,7.94,broken clouds
117,Whithorn,18.2604,-78.0378,71.44,92,100,4.07,overcast clouds
118,Vardo,70.3705,31.1107,28.18,82,98,24.23,overcast clouds
119,Mahebourg,-20.4081,57.7,77.25,80,84,9.69,broken clouds
120,Ilulissat,69.2167,-51.1,15.82,79,100,9.22,overcast clouds
121,Kodiak,57.79,-152.4072,28.31,71,100,16.98,overcast clouds
