City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-01-03 04:48:35,42.097,-79.2353,24.12,68,90,5.99
1,Bredasdorp,ZA,2022-01-03 04:48:35,-34.5322,20.0403,58.28,88,83,1.14
2,Coquimbo,CL,2022-01-03 04:48:36,-29.9533,-71.3436,60.53,94,0,0.0
3,Pochutla,MX,2022-01-03 04:48:36,15.7432,-96.4661,76.82,74,0,4.05
4,Vanimo,PG,2022-01-03 04:48:36,-2.6741,141.3028,78.71,90,100,8.7
5,Lorengau,PG,2022-01-03 04:48:37,-2.0226,147.2712,81.45,80,100,13.78
6,Punta Arenas,CL,2022-01-03 04:45:31,-53.15,-70.9167,41.11,65,75,9.22
7,Qaanaaq,GL,2022-01-03 04:48:37,77.484,-69.3632,-3.32,68,58,7.54
8,Nikolskoye,RU,2022-01-03 04:48:38,59.7035,30.7861,19.4,95,99,7.18
9,Lasa,IT,2022-01-03 04:48:39,46.6166,10.7002,41.88,79,38,5.99
10,Busselton,AU,2022-01-03 04:48:39,-33.65,115.3333,85.32,37,6,5.91
11,Adrar,MR,2022-01-03 04:48:39,20.5022,-10.0711,57.29,33,0,11.36
12,Ushuaia,AR,2022-01-03 04:44:03,-54.8,-68.3,40.66,56,40,19.57
13,Tabou,CI,2022-01-03 04:48:40,4.423,-7.3528,78.84,83,52,6.33
14,Salalah,OM,2022-01-03 04:48:41,17.0151,54.0924,69.89,83,75,3.44
15,Mahajanga,MG,2022-01-03 04:48:41,-15.7167,46.3167,75.22,94,40,3.44
16,Ribeira Grande,PT,2022-01-03 04:48:42,38.5167,-28.7,57.4,76,100,24.32
17,Dukat,RU,2022-01-03 04:48:42,62.55,155.55,22.64,92,96,21.85
18,Maryville,US,2022-01-03 04:47:30,35.7565,-83.9705,48.67,95,90,8.99
19,Hobart,AU,2022-01-03 04:48:43,-42.8794,147.3294,72.01,57,40,1.99
20,Upernavik,GL,2022-01-03 04:48:43,72.7868,-56.1549,-4.11,84,40,7.36
21,Thompson,CA,2022-01-03 04:48:44,55.7435,-97.8558,-20.04,76,75,2.3
22,Albany,US,2022-01-03 04:44:23,42.6001,-73.9662,28.27,83,94,10.0
23,Mataura,NZ,2022-01-03 04:48:44,-46.1927,168.8643,68.49,50,100,1.83
24,Hithadhoo,MV,2022-01-03 04:48:45,-0.6,73.0833,81.19,77,22,6.13
25,Launceston,AU,2022-01-03 04:48:45,-41.45,147.1667,77.61,41,90,5.01
26,Rikitea,PF,2022-01-03 04:48:46,-23.1203,-134.9692,77.77,70,80,8.14
27,Aljezur,PT,2022-01-03 04:48:46,37.3191,-8.8033,57.52,75,14,2.66
28,Avarua,CK,2022-01-03 04:48:46,-21.2078,-159.775,80.65,78,20,12.66
29,Wahiawa,US,2022-01-03 04:48:52,21.5028,-158.0236,68.32,83,1,0.0
30,Puerto Ayora,EC,2022-01-03 04:48:52,-0.7393,-90.3518,69.58,87,98,5.3
31,Provideniya,RU,2022-01-03 04:48:53,64.3833,-173.3,14.36,98,99,1.83
32,Ilulissat,GL,2022-01-03 04:48:53,69.2167,-51.1,12.22,52,97,2.3
33,Coruripe,BR,2022-01-03 04:48:54,-10.1256,-36.1756,76.15,75,43,8.41
34,Manavalakurichi,IN,2022-01-03 04:48:54,8.1333,77.3,89.69,57,7,8.32
35,Mahebourg,MU,2022-01-03 04:48:54,-20.4081,57.7,83.25,73,20,2.3
36,Lompoc,US,2022-01-03 04:44:32,34.6391,-120.4579,51.13,73,1,0.0
37,Samarai,PG,2022-01-03 04:48:55,-10.6167,150.6667,85.44,71,93,10.65
38,Atuona,PF,2022-01-03 04:48:55,-9.8,-139.0333,78.62,72,20,17.98
39,Tignere,CM,2022-01-03 04:48:56,7.3667,12.65,59.27,29,35,3.49
40,Buta,CD,2022-01-03 04:48:56,2.7858,24.73,69.64,95,91,1.39
41,Ocos,GT,2022-01-03 04:48:57,14.5094,-92.1933,79.0,76,30,9.42
42,Tayu,ID,2022-01-03 04:48:57,-6.5397,111.0518,83.93,70,99,4.27
43,Chuy,UY,2022-01-03 04:48:58,-33.6971,-53.4616,72.23,75,0,7.2
44,Hofn,IS,2022-01-03 04:48:58,64.2539,-15.2082,26.28,57,0,21.7
45,Qaqortoq,GL,2022-01-03 04:48:58,60.7167,-46.0333,32.5,65,100,13.22
46,La Ronge,CA,2022-01-03 04:45:44,55.1001,-105.2842,-5.55,77,90,3.44
47,Dikson,RU,2022-01-03 04:49:59,73.5069,80.5464,-39.5,94,83,5.59
48,Bluff,NZ,2022-01-03 04:50:00,-46.6,168.3333,68.81,79,100,1.28
49,La Libertad,EC,2022-01-03 04:50:01,-2.2333,-80.9,72.52,81,99,9.19
50,Talnakh,RU,2022-01-03 04:50:01,69.4865,88.3972,-34.65,93,11,4.5
51,East London,ZA,2022-01-03 04:50:02,-33.0153,27.9116,67.14,88,40,4.61
52,Camopi,GF,2022-01-03 04:50:02,3.1655,-52.3158,70.12,100,45,2.13
53,Lagoa,PT,2022-01-03 04:50:03,39.05,-27.9833,56.82,70,100,19.35
